Erwähnung;Personenname
Jungen Herrn;Christian II., Fürst (Anhalt-Bernburg)
Regierend Herzog von Württemberg;Johann Friedrich, Herzog (Württemberg)
Ludwig Friedrich;Ludwig Friedrich, Herzog (Württemberg-Mömpelgard)
Friedrich Achilles von Württemberg;Friedrich Achilles, Herzog (Württemberg-Neuenstadt)
Craftvon Hochenloë;Kraft zu Hohenlohe-Neuenstein
Gemahelin;Elisabeth von England
Thonauer;Georg Donauer
Fürst;Johann Friedrich, Herzog (Württemberg)
Christoph von Laÿ-mingen;Christoph von Laimingen
Christus;Jesus Christus
Christoph von Laÿmingen;Christoph von Laimingen
Bechler;Hieronymus Bechler
Holderer;David Holder
Haugwitz;Christoph von Haugwitz
Conrat Schotten;Konrad Schott
Landthofmaister;Eberhard Schenk von Limpurg-Speckfeld
Fürst Christians hofmaister;Burckhardt von Erlach
Johann Ernst von Remchingen;Johann Ernst von Remchingen
Laÿmingern;Christoph von Laimingen
von Grüenthal;Johann Joachim von Grüenthall
Kraft;Hans Ulrich Krafft
er;Hans Ulrich Krafft
Ehinger;Johann Rudolf Ehinger von Balzheim
VENVS;Venus, Göttin
