Erwähnung;Personenname
Christian von Brandenburg-Kulmbach;Christian, Markgraf (Brandenburg-Kulmbach)
Joachim Ernst vom Brandenburg-Ansbach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
Principe d’Anhalt;Joachim Ernst, Fürst (Anhalt)
Conte giouane d’ Herberstain;Wolfgang Jakob von Herberstein
Ferdinand von Köln;Ferdinand, Kurfürst (Köln)
Leopold von Passau;Leopold V., Erzherzog (Österreich-Tirol)
Johann Gottfried I. von Bamberg;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Signor Cugino;Leopold V., Erzherzog (Österreich-Tirol)
Jonas Schiessel;Jonas Schiessel
sua Maestà;Matthias, Kaiser (HRR)
l’ elettore di Cologna;Ferdinand, Kurfürst (Köln)
maggiore;Christian, Markgraf (Brandenburg-Kulmbach)
minore;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
ambassadore;Johann Ernst Fugger
’ Imperatore;Matthias, Kaiser (HRR)
Paulus Behaim;Paulus Behaim von Schwarzbach
Georg Volckamer;Georg Volckamer
Marchese d’Ain-spach;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
principe d’ Anhalt;Joachim Ernst, Fürst (Anhalt)
Johann Gottfried von Bamberg;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Caesaris;Matthias, Kaiser (HRR)
Caesari;Matthias, Kaiser (HRR)
Caesare;Matthias, Kaiser (HRR)
Imperator;Matthias, Kaiser (HRR)
Cae-sar;Matthias, Kaiser (HRR)
Wackerus;Johann Matthäus Wacker von Wackenfels
Caesarem;Matthias, Kaiser (HRR)
Caesarissae;Anna, Kaiserin (HRR)
Cleselium;Melchior Klesl
Cleselius;Melchior Klesl
Caesarissam;Anna, Kaiserin (HRR)
Elector Coloniensis Fer-dinandus;Ferdinand, Kurfürst (Köln)
Episcopus Argentinensis, et PassaviensisLeopoldus Austriacus;Leopold V., Erzherzog (Österreich-Tirol)
Coloniensis;Ferdinand, Kurfürst (Köln)
Episcopus Bambergensis Gothofredus Aschusius;Johann Gottfried I. von Aschhausen, Bischof (Bamberg und Würzburg)
Marchio Burgaviensis, Carolus;Karl, Markgraf (Burgau)
Christianus, qui Culmbachij;Christian, Markgraf (Brandenburg-Kulmbach)
Ioachimus Ernestus, qui Onolzbachij;Joachim Ernst, Markgraf (Brandenburg-Ansbach)
tertius de cujus nomine mihi non liquet;Georg Albrecht II., Markgraf (Brandenburg)
Princeps Anhaltinus Ioachimus Ernestus;Joachim Ernst, Fürst (Anhalt)
Balthasar de Geniga;Baltasar de Zúñiga
Florentinus;Giuliano de’ Medici
Bavarus;Wolf Konrad von Rechberg
