Erwähnung;Personenname
Hertzog Wolffgang Wilhelm;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
FürstlicheHochzeiterin;Magdalena von Bayern
fraw Elisabeth, Hertzogin inobern vnd Nidern Baÿrn, geborne Hertzoginzu Lottringen vnd Barr;Elisabeth Renata von Lothringen
fraw Anna, Pfaltz-gräfin beÿ Rhein, Hertzogin zu Gilch, Cleuevnd Berg;Anna von Pfalz-Neuburg
fraw Mechtildis, Hertzogin in Obern vnd NidernBaÿrn, Landgräfin zu Leichtenberg;Mathilde von Bayern
HertzogAugustus Pfaltzgraf;August, Pfalzgraf (Pfalz-Sulzbach)
HertzogJohann Friderich Pfaltzgraf;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Herr bischoff von Eÿstett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
HugoldBeer;Hugold von Behr
breutigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzog Maximili-an;Maximilian I., Herzog/Kurfürst (Bayern)
Churfürst von Cölln;Ferdinand, Kurfürst (Köln)
fräwlin Hochzeiterin;Magdalena von Bayern
Herr Johann Christoph;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Bischoff;Johann Christoph von Westerstetten, Bischof (Eichstätt)
von Eÿstett;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Herr Bi-schoff;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Fürstliche Hochzeiterin;Magdalena von Bayern
Fürstliche Hochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Grafen von Rechberg;Wolf Konrad von Rechberg
Herrn bischoffs Fürstliche gnaden;Johann Christoph von Westerstetten, Bischof (Eichstätt)
fräwlein Hochzeiterin;Magdalena von Bayern
Hertzogen Au-gustum;August, Pfalzgraf (Pfalz-Sulzbach)
Hertzogen Johann Friderich;Johann Friedrich, Pfalzgraf (Pfalz-Hilpoltstein)
Herr Hochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzogen Maximi-lianum;Maximilian I., Herzog/Kurfürst (Bayern)
Herrenbischoff;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Hochgeborner Fürst, gnedigerlieber Herr Wolfgang Wilhalm, Euer Gnaden;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fräwlin Magdalena, gebornerPfaltzgräfin beÿ Rhein, auch in Obern vndNidern Baÿrn Hertzogin;Magdalena von Bayern
Fürstin Magdalena;Magdalena von Bayern
Hochgebornen Fürsten,Herrn Wolffgang Wilhalm, Pfaltzgrafenbeÿ Rhein, vnd Hertzogen in Baÿren;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
herr Hochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Herr Bischoff;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Hertzogen Maxi-milianj;Maximilian I., Herzog/Kurfürst (Bayern)
Philipp Ludwigs von Pfalz-Neuburg;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Fürstliche verlobte;Magdalena von Bayern
breütigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Marx Fugger;Markus Fugger
Hochzeiterin;Magdalena von Bayern
Herrn Fugger;Markus Fugger
Bischoffvon Eÿstatt;Johann Christoph von Westerstetten, Bischof (Eichstätt)
Herrn breutigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
regirendenHerrn;Maximilian I., Herzog/Kurfürst (Bayern)
re-girende fürstin;Elisabeth Renata von Lothringen
Renata von Etzdorf;Renata von Etzdorf
Anna Maria von Etzdorf;Anna Maria von Etzdorf
der von Haßlang;Maria Felicitas von Gumppenberg
Hanns Christoph von Dachsberg;Johann Christoph von Dachsberg zu Zangberg
Kurtzin;Sabina Kurtz
Wildenstai-nin;Maria Salome Wallrab von Hautzendorf
Saalhäuserin;Maria Magdalena von Salhausen
Herrnbreutigam;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
fräwlin;Magdalena von Bayern
derFürstlichen Hochzeiterin;Magdalena von Bayern
dem Fürst-lichen Hochzeiter;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
Hertzogen WilhalmsDurchleucht;Wilhelm V., Herzog (Bayern)
alte HerrPfaltzgraf;Philipp Ludwig, Pfalzgraf und Herzog (Pfalz-Neuburg)
Jacob Hail-bruner;Jakob Heilbronner
Pfaltzgräfin;Anna von Pfalz-Neuburg
Herrn DoktorJacob Hailbruner;Jakob Heilbronner
Durchleuchtig vnd HochgebohrneFürst vnd Herr, Herr Wolffgang WilhalmPfaltzgraf beÿ Rhein, in Baÿrn, zu Gülch,Cleue vnd Berg Hertzog, Grafe zu Veldentz,Sponhaim, zur Marckh, Rauenspurg vndMörß, Herr zu Rauenstain;Wolfgang Wilhelm, Pfalzgraf und Herzog (Pfalz-Neuburg)
DurchleuchtigeHochgeborne Fürstin vnd fraw, fraw Mag-dalena, geborne Pfaltzgräfin beÿ Rhein,Hertzogin in Obern vnd Nidern Baÿrn;Magdalena von Bayern
Anna;Anna von Pfalz-Neuburg
Heilbronner;Jakob Heilbronner
